iter	RMSE
0	14.20192341
1	13.28159833
2	12.43001749
3	11.68537735
4	10.97405371
5	10.40988526
6	9.903677716
7	9.412957325
8	8.980290999
9	8.559176651
10	8.21005097
11	7.891619037
12	7.635912785
13	7.383636467
14	7.172528239
15	6.957542351
16	6.781883803
17	6.651697775
18	6.501212114
19	6.363018673
20	6.251533629
21	6.16247801
22	6.061501755
23	5.977833868
24	5.885913508
25	5.817662078
26	5.76495224
27	5.709179531
28	5.665692966
29	5.618715198
30	5.570313611
31	5.530173746
32	5.495651774
33	5.471983441
34	5.433844365
35	5.392153917
36	5.365513555
37	5.346936734
38	5.325625718
39	5.306457796
40	5.288881481
41	5.269813837
42	5.252924983
43	5.244162975
44	5.217791461
45	5.201594766
46	5.173601576
47	5.162565451
48	5.145511806
49	5.134429617
50	5.116169065
51	5.106863097
52	5.092310474
53	5.082294798
54	5.069028671
55	5.054696815
56	5.048469041
57	5.037392785
58	5.022814057
59	5.021886721
60	5.010741452
61	4.999926647
62	4.987648816
63	4.97951552
64	4.97374742
65	4.967456813
66	4.954853119
67	4.94190362
68	4.934274716
69	4.923711409
70	4.913213508
71	4.909383596
72	4.892998553
73	4.881261624
74	4.870765911
75	4.859388652
76	4.850166778
77	4.846137184
78	4.837038872
79	4.831232914
80	4.825899257
81	4.817779922
82	4.810355132
83	4.801326949
84	4.795185099
85	4.78826294
86	4.778865824
87	4.771966852
88	4.761085713
89	4.750124215
90	4.745397709
91	4.724159493
92	4.710324431
93	4.703781959
94	4.697277071
95	4.678782443
96	4.673839675
97	4.662287227
98	4.65096858
99	4.641649753
