iter	Passed	Remaining
0	132	132689
1	133	66619
2	134	44556
3	134	33518
4	135	26932
5	135	22528
6	136	19357
7	136	16985
8	137	15143
9	138	13674
10	138	12469
11	139	11466
12	139	10615
13	140	9888
14	140	9255
15	141	8710
16	142	8221
17	142	7783
18	143	7397
19	143	7045
20	144	6725
21	144	6437
22	145	6175
23	145	5934
24	146	5712
25	147	5508
26	147	5318
27	148	5142
28	148	4977
29	149	4823
30	149	4681
31	150	4545
32	150	4419
33	151	4297
34	151	4186
35	152	4081
36	153	3982
37	153	3887
38	154	3798
39	154	3712
40	155	3632
41	155	3553
42	156	3479
43	156	3407
44	157	3339
45	157	3274
46	158	3212
47	158	3152
48	159	3095
49	160	3041
50	160	2989
51	161	2937
52	161	2888
53	162	2841
54	162	2795
55	163	2750
56	163	2708
57	164	2667
58	164	2627
59	165	2588
60	165	2551
61	166	2516
62	166	2483
63	167	2449
64	168	2417
65	168	2385
66	169	2355
67	169	2325
68	170	2296
69	170	2267
70	171	2239
71	171	2213
72	172	2187
73	172	2162
74	173	2138
75	173	2114
76	174	2091
77	175	2069
78	175	2046
79	176	2024
80	176	2001
81	177	1981
82	177	1961
83	178	1941
84	178	1922
85	179	1904
86	179	1886
87	180	1869
88	180	1851
89	181	1835
90	182	1818
91	182	1802
92	183	1786
93	183	1771
94	184	1755
95	184	1740
96	185	1725
97	185	1711
98	186	1696
99	186	1682
100	187	1668
101	188	1656
102	188	1642
103	189	1630
104	189	1617
105	190	1604
106	190	1591
107	191	1580
108	191	1569
109	192	1558
110	193	1547
111	193	1537
112	194	1526
113	195	1515
114	195	1505
115	195	1493
116	196	1483
117	197	1472
118	197	1463
119	198	1453
120	198	1443
121	199	1432
122	199	1423
123	200	1414
124	200	1405
125	201	1396
126	201	1387
127	202	1378
128	203	1370
129	203	1362
130	204	1353
131	204	1345
132	205	1336
133	205	1328
134	206	1320
135	206	1312
136	207	1304
137	207	1297
138	208	1289
139	208	1282
140	209	1275
141	209	1266
142	210	1260
143	210	1253
144	211	1246
145	211	1239
146	212	1232
147	212	1226
148	213	1219
149	214	1213
150	214	1207
151	215	1200
152	215	1195
153	216	1189
154	217	1183
155	217	1177
156	218	1171
157	218	1165
158	219	1160
159	219	1154
160	220	1147
161	220	1142
